STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2016,,0.903421,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2018,,0.846773,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2017,,0.885206,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2020,,0.875506,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2001,,1.116533,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2007,,0.729672,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2006,,0.796433,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2015,,0.901296,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2004,,0.803922,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2023,,0.92484,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),Annual Purchasing Power Parities and exchange rates,I,A,Annual,GRC,Greece,S1,Total economy,S1,Total economy,EXC_A,"Exchange rates, average",F21,Currency,_Z,Not applicable,_Z,Not applicable,XDC_USD,National currency per US dollar,_Z,Not applicable,N,Non transformed data,T001,Table 001 - Exchange rates and PPPs,2022,,0.949624,,,,F,Free (free for publication),6,Six,A,Normal value,0,Units,EUR,Euro
